moisture,temperature,humidity,light,moisture_trend,temperature_trend,humidity_trend,light_trend,label
30.69,29.0,26.39,196.53,-8.55,2.71,0.7,-17.92,attention
67.57,23.69,47.99,175.59,0.45,0.37,1.88,-211.56,attention
56.39,34.43,50.46,394.74,1.61,7.9,2.83,-26.44,attention
40.03,21.17,17.2,326.34,0.66,1.03,-15.9,-17.72,critical
30.75,30.99,31.27,203.17,-3.3,4.19,-2.31,8.66,attention
6.06,43.2,21.17,60.35,-8.48,5.25,-8.09,-156.19,critical
50.3,24.89,28.1,560.47,3.75,-0.65,-4.27,17.98,attention
49.49,22.77,54.64,198.19,-2.01,1.98,0.35,-155.36,attention
21.72,37.93,22.39,40.91,-19.38,7.62,-10.28,-106.76,critical
25.79,21.64,46.87,353.16,-10.56,0.26,2.34,-39.6,attention
61.61,25.48,25.19,540.46,-0.64,-1.33,-11.09,45.81,attention
56.27,21.69,39.14,300.86,3.91,0.56,2.89,-28.66,normal
51.41,25.54,62.44,46.33,-0.52,0.56,2.33,-127.74,critical
42.74,23.11,6.4,533.79,3.97,1.64,-13.67,-23.78,critical
15.87,39.12,19.59,57.69,-13.65,8.54,-13.47,-186.76,critical
45.4,24.02,42.52,882.66,-1.62,-0.84,-2.34,24.6,normal
33.13,29.21,30.37,193.16,-4.02,4.05,3.34,-46.53,attention
61.23,26.62,9.84,874.76,-1.01,1.77,-6.29,-47.88,critical
54.33,44.42,46.4,514.81,-2.48,9.58,2.78,-5.43,critical
45.9,23.19,17.12,431.88,-3.51,1.01,-13.03,-49.72,critical
44.48,34.24,45.53,354.43,3.2,6.99,2.87,-42.64,attention
22.95,21.5,44.99,587.24,-10.06,1.23,0.29,-13.11,attention
9.58,23.53,44.41,698.96,-15.46,-0.87,3.41,-14.23,critical
47.95,34.52,59.39,478.09,-2.58,7.59,2.95,-52.85,attention
57.23,24.33,52.84,369.57,1.0,1.61,-1.3,50.87,normal
64.8,33.46,48.51,678.33,0.86,5.77,-3.57,-20.27,attention
12.86,39.57,10.43,126.67,-19.69,10.83,-12.9,-236.24,critical
65.0,21.86,29.11,654.46,-1.55,0.34,-10.48,-16.26,attention
50.63,38.4,41.01,561.45,3.9,6.36,0.7,-58.34,critical
62.24,39.66,38.84,677.37,0.32,8.91,-3.25,30.43,critical
51.48,23.62,60.1,15.33,3.28,1.27,3.08,-199.52,critical
14.57,37.17,20.24,110.36,-11.93,9.58,-14.07,-161.4,critical
65.22,33.64,46.23,815.34,-0.11,4.15,0.83,0.22,attention
67.35,23.17,56.85,531.44,-0.97,-1.08,-0.31,-41.39,normal
52.08,26.56,25.26,497.25,-0.69,0.25,-6.74,-42.49,attention
25.74,28.58,34.72,241.87,-6.27,4.69,3.19,-36.9,attention
55.88,23.21,27.3,614.06,3.54,0.72,-8.94,46.17,attention
41.3,45.42,39.82,489.28,2.31,9.16,-3.87,-28.16,critical
41.26,20.82,60.93,582.79,-0.64,-1.4,-3.23,-2.9,normal
6.2,25.33,59.08,629.5,-10.2,0.15,-1.07,-36.35,critical
62.85,20.99,22.7,660.21,0.13,1.2,-5.31,23.27,attention
67.67,22.36,56.36,844.19,2.06,1.21,2.6,31.42,normal
48.42,26.34,42.56,876.36,-0.36,-0.38,-3.96,-39.0,normal
62.79,27.03,53.77,267.45,3.47,0.02,-0.25,-0.5,normal
63.47,19.64,28.43,406.06,-1.46,-0.83,-4.97,17.36,attention
48.25,26.99,40.67,308.0,3.53,1.91,-1.3,58.23,normal
